ano,ente,codigo,instituicao,conta,valor,coluna
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,DÍVIDA CONSOLIDADA,1482658293.74,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,Precatórios (inclusive) Vencidos e Não Pagos,1654339.54,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,Disponibilidade de Caixa,420363795.93,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,Disponibilidade de Caixa Bruta,780896325.38,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,RECEITA CORRENTE LÍQUIDA,4553802783.04,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,4553802783.04,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,% da DC sobre a RCL AJUSTADA (I/VI),32.56,Até o 2º Quadrimestre
2025,municipio,2211001,Prefeitura Municipal de Teresina - PI,% da DCL sobre a RCL AJUSTADA,23.22,Até o 2º Quadrimestre
