exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2024,3,RGF-Municipio,2310902,PIQUET CARNEIRO,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,90933232.62,False
2024,3,RGF-Municipio,2310902,PIQUET CARNEIRO,CE,% da DC sobre a RCL AJUSTADA,43.93,False
2024,3,RGF-Municipio,2310902,PIQUET CARNEIRO,CE,% da DCL sobre a RCL AJUSTADA,38.77,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,DÍVIDA CONSOLIDADA,13412281.92,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,Precatórios (inclusive) Vencidos e Não Pagos,30657.19,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,Disponibilidade de Caixa,8585917.53,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,Disponibilidade de Caixa Bruta,12248708.03,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,RECEITA CORRENTE LÍQUIDA,122599197.2,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,119018460.2,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,% da DC sobre a RCL AJUSTADA,11.27,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,% da DCL sobre a RCL AJUSTADA,4.04,False
2024,3,RGF-Municipio,2313005,SOLONOPOLE,CE,Precatórios (Não incluídos na DC),105406.45,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,DÍVIDA CONSOLIDADA,52332456.31,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,Disponibilidade de Caixa,1435603.42,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,Disponibilidade de Caixa Bruta,40573711.95,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,RECEITA CORRENTE LÍQUIDA,500271647.59,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,495821647.59,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,% da DC sobre a RCL AJUSTADA,10.55,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,% da DCL sobre a RCL AJUSTADA,10.27,False
2024,3,RGF-Municipio,2301000,AQUIRAZ,CE,Precatórios (Não incluídos na DC),2144812.79,False
2024,3,RGF-Municipio,2304657,GRACA,CE,DÍVIDA CONSOLIDADA,891809.91,False
2024,3,RGF-Municipio,2304657,GRACA,CE,Disponibilidade de Caixa,6206472.3,False
