ano,ente,codigo,instituicao,conta,valor,coluna
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,DÍVIDA CONSOLIDADA,19304821.37,Até o 2º Quadrimestre
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,Disponibilidade de Caixa,-4335209.8,Até o 2º Quadrimestre
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,Disponibilidade de Caixa Bruta,27695487.59,Até o 2º Quadrimestre
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,RECEITA CORRENTE LÍQUIDA,248001601.79,Até o 2º Quadrimestre
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,246772584.79,Até o 2º Quadrimestre
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,% da DC sobre a RCL AJUSTADA (I/VI),7.82,Até o 2º Quadrimestre
2025,municipio,2700409,Prefeitura Municipal de Atalaia - AL,% da DCL sobre a RCL AJUSTADA,9.58,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,DÍVIDA CONSOLIDADA,11684597.34,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,Disponibilidade de Caixa,69888730.08,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,Disponibilidade de Caixa Bruta,73310521.22,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,RECEITA CORRENTE LÍQUIDA,91927939.52,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,91927939.52,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,% da DC sobre a RCL AJUSTADA (I/VI),12.71,Até o 2º Quadrimestre
2025,municipio,2700607,Prefeitura Municipal de Barra de São Miguel - AL,% da DCL sobre a RCL AJUSTADA,-64.6,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,DÍVIDA CONSOLIDADA,1480046.8,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,Precatórios (inclusive) Vencidos e Não Pagos,104386.07,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,Disponibilidade de Caixa,15755693.16,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,Disponibilidade de Caixa Bruta,16647840.06,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,RECEITA CORRENTE LÍQUIDA,74928524.71,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,74051157.71,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,% da DC sobre a RCL AJUSTADA (I/VI),2.0,Até o 2º Quadrimestre
2025,municipio,2700805,Prefeitura Municipal de Belém - AL,% da DCL sobre a RCL AJUSTADA,-19.28,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,DÍVIDA CONSOLIDADA,1268228.0,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,Disponibilidade de Caixa,4521791.28,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,Disponibilidade de Caixa Bruta,11537000.32,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,RECEITA CORRENTE LÍQUIDA,95680123.23,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,95680123.23,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,% da DC sobre a RCL AJUSTADA (I/VI),1.33,Até o 2º Quadrimestre
2025,municipio,2701100,Prefeitura Municipal de Branquinha - AL,% da DCL sobre a RCL AJUSTADA,-3.4,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,DÍVIDA CONSOLIDADA,6261055.69,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,Disponibilidade de Caixa,29691612.12,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,Disponibilidade de Caixa Bruta,36838722.37,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,RECEITA CORRENTE LÍQUIDA,142356290.18,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,142356290.18,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,% da DC sobre a RCL AJUSTADA (I/VI),4.4,Até o 2º Quadrimestre
2025,municipio,2701001,Prefeitura Municipal de Boca da Mata - AL,% da DCL sobre a RCL AJUSTADA,-16.46,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,DÍVIDA CONSOLIDADA,36567758.56,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,Precatórios (inclusive) Vencidos e Não Pagos,1200000.0,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,Disponibilidade de Caixa,2903883.92,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,Disponibilidade de Caixa Bruta,13274009.99,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,RECEITA CORRENTE LÍQUIDA,258017446.6,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,255017446.6,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,% da DC sobre a RCL AJUSTADA (I/VI),14.34,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,% da DCL sobre a RCL AJUSTADA,13.2,Até o 2º Quadrimestre
2025,municipio,2701407,Prefeitura Municipal de Campo Alegre - AL,Precatórios (Não incluídos na DC),-706116.96,Até o 2º Quadrimestre
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,DÍVIDA CONSOLIDADA,7988813.72,Até o 1º Quadrimestre
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,Disponibilidade de Caixa,-131964.87,Até o 1º Quadrimestre
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,Disponibilidade de Caixa Bruta,13128332.7,Até o 1º Quadrimestre
