exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2021,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,RECEITA CORRENTE LÍQUIDA,12528914436.01,False
2021,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,% da DC sobre a RCL AJUSTADA,75.27,False
2021,3,RGF-UF,27,GOVERNO DO ESTADO DE ALAGOAS,AL,% da DCL sobre a RCL AJUSTADA,37.98,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,DÍVIDA CONSOLIDADA,28616023649.63,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Parcelamento e Renegociação de Dívidas,365108314.43,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Precatórios (inclusive) Vencidos e Não Pagos,4904800199.31,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Disponibilidade de Caixa,5822647243.01,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Disponibilidade de Caixa Bruta,6278885498.67,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,DÍVIDA CONSOLIDADA LÍQUIDA,21511870767.47,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,RECEITA CORRENTE LÍQUIDA,37877609907.56,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,% da DC sobre a RCL AJUSTADA,75.65,False
2020,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,% da DCL sobre a RCL AJUSTADA,56.87,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,DÍVIDA CONSOLIDADA,6620917010.43,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Empréstimos,5637726917.41,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Parcelamento e Renegociação de Dívidas,255805600.07,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Demais Dívidas Contratuais,87173706.45,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Precatórios (inclusive) Vencidos e Não Pagos,420544106.53,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Disponibilidade de Caixa,2251178580.89,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Disponibilidade de Caixa Bruta,3312311062.8,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,DÍVIDA CONSOLIDADA LÍQUIDA,4367120256.94,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,RECEITA CORRENTE LÍQUIDA,11769739826.7,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,% da DC sobre a RCL AJUSTADA,56.36,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,% da DCL sobre a RCL AJUSTADA,37.17,False
2020,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Precatórios (Não incluídos na DC),1093796421.41,False
