exercicio,instituicao,uf,conta,valor
2019,Prefeitura Municipal de Belém do São Francisco - PE,PE,DÍVIDA CONSOLIDADA,220311.96
2019,Prefeitura Municipal de Belém do São Francisco - PE,PE,Disponibilidade de Caixa Bruta,3427969.31
2019,Prefeitura Municipal de Belém do São Francisco - PE,PE,RECEITA CORRENTE LÍQUIDA,46074135.29
2019,Prefeitura Municipal de Betânia - PE,PE,DÍVIDA CONSOLIDADA,9485465.9
2019,Prefeitura Municipal de Betânia - PE,PE,Disponibilidade de Caixa Bruta,1055615.2
2019,Prefeitura Municipal de Betânia - PE,PE,RECEITA CORRENTE LÍQUIDA,29028868.62
2019,Prefeitura Municipal de Bom Conselho - PE,PE,DÍVIDA CONSOLIDADA,23132097.63
2019,Prefeitura Municipal de Bom Conselho - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,3471225.32
2019,Prefeitura Municipal de Bom Conselho - PE,PE,Disponibilidade de Caixa Bruta,15264259.16
2019,Prefeitura Municipal de Bom Conselho - PE,PE,RECEITA CORRENTE LÍQUIDA,94074455.75
2019,Prefeitura Municipal de Bodocó - PE,PE,DÍVIDA CONSOLIDADA,4578672.65
2019,Prefeitura Municipal de Bodocó - PE,PE,Disponibilidade de Caixa,4830050.96
2019,Prefeitura Municipal de Bodocó - PE,PE,Disponibilidade de Caixa Bruta,14589767.77
2019,Prefeitura Municipal de Bodocó - PE,PE,RECEITA CORRENTE LÍQUIDA,74350014.05
2019,Prefeitura Municipal de Belo Jardim - PE,PE,DÍVIDA CONSOLIDADA,18104253.62
2019,Prefeitura Municipal de Belo Jardim - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,233963.73
2019,Prefeitura Municipal de Belo Jardim - PE,PE,Disponibilidade de Caixa,989457.99
2019,Prefeitura Municipal de Belo Jardim - PE,PE,Disponibilidade de Caixa Bruta,10380935.92
2019,Prefeitura Municipal de Belo Jardim - PE,PE,RECEITA CORRENTE LÍQUIDA,184685465.56
2019,Prefeitura Municipal de Bezerros - PE,PE,DÍVIDA CONSOLIDADA,26800691.93
2019,Prefeitura Municipal de Bezerros - PE,PE,Disponibilidade de Caixa Bruta,12196536.44
2019,Prefeitura Municipal de Bezerros - PE,PE,RECEITA CORRENTE LÍQUIDA,107416561.03
2019,Prefeitura Municipal de Bom Jardim - PE,PE,DÍVIDA CONSOLIDADA,1623795.66
2019,Prefeitura Municipal de Bom Jardim - PE,PE,Disponibilidade de Caixa,8271885.14
2019,Prefeitura Municipal de Bom Jardim - PE,PE,Disponibilidade de Caixa Bruta,8532313.28
2019,Prefeitura Municipal de Bom Jardim - PE,PE,RECEITA CORRENTE LÍQUIDA,69430310.33
2019,Prefeitura Municipal de Bonito - PE,PE,DÍVIDA CONSOLIDADA,27095702.77
2019,Prefeitura Municipal de Bonito - PE,PE,Disponibilidade de Caixa,12640926.12
2019,Prefeitura Municipal de Bonito - PE,PE,Disponibilidade de Caixa Bruta,15692966.21
2019,Prefeitura Municipal de Bonito - PE,PE,RECEITA CORRENTE LÍQUIDA,73285583.69
2019,Prefeitura Municipal de Brejão - PE,PE,Disponibilidade de Caixa,756388.08
2019,Prefeitura Municipal de Brejão - PE,PE,Disponibilidade de Caixa Bruta,3285015.63
2019,Prefeitura Municipal de Brejão - PE,PE,RECEITA CORRENTE LÍQUIDA,25830656.22
2019,Prefeitura Municipal de Brejão - PE,PE,Precatórios (Não incluídos na DC),2272029.49
